core,from,edge,to,cites,cites_empirical,mechanism,cite_weight,cite_weight_empirical
T,computers,"increases, imperfectly",detect gerrymandering,Altman & McDonald 2010; Wang 2016; Altman & McDonald 2011; Ramachandran & Gold 2018,Wang 2016,"Altman and McDonald (2010) argue that simulations cannot adequately detect gerrymanders. Wang proposes three tests to detect the effects and intents of gerrymanders. Altman and McDonald (2011) provide an open source program for redistricting analysis. Ramachandran & Gold argue that simulation-based measures (part of ""outlier analysis"") are some of the only ways to effectively detect gerrymanders.",4,1
T,computers,increases,public participation,Altman & McDonald 2010; Altman & McDonald 2011,NA,Altman & McDonald argue that computers can be used to allow the public to participate in the map-drawing process by soliciting information and education about redistricting.,2,0
T,number of competitive districts,"decreases if cor(party, community)>0",preserve communities of interest,Gimpel & Harbridge-Yong 2020,Gimpel & Harbridge-Yong 2020,"If racial groups or like municipal jurisdictions have partisan leanings, then creating more competitive districts often means splitting communities across districts.",1,1
T,partisan advantage,decreases,proportionality,Caughey et al. 2017; Tamas 2019,NA,A partisan gerrymander aims to diverge from proportionality.,2,0
T,partisan gerrymandering,increases,efficiency gap,Chen 2017,Chen 2017,"Chen conducts simulations of neutrally drawn districts in Wisconsin and compares the efficiency gap of simulations to that of the actual redistricting plan, in order to show that the map was designed to give an advantage to one party.",1,1
T,preserve communities of interest,NA,constitutional test,Stephanopoulos 2012,NA,"Stephanopoulos argues that the Supreme Court ought to adopt a test of political gerrymandering based on the ""territorial community."" In short, if a district map disrupts an organic geographic community, it is unconstitutional.",1,0
T,mean-median vote comparison,NA,detect gerrymandering,McDonald & Best 2015; Wang 2016; Wang 2016b,Wang 2016b,McDonald & Best propose a new measure of detecting gerrymanders; compare a party's median vote share in a district to its mean vote share. Wang proposes a similar measure of gerrymandering based on comparing mean and median vote shares.,3,1
T,mean-median vote comparison,NA,constitutional test,"McDonald & Best 2015, Best et al. 2018",NA,McDonald & Best argue that their measure of gerryamndering can be extended to identify which gerrymanders are unconstitutional,1,0
T,partisan gerrymandering,NA,constitutional test,Kang 2017,NA,Kang argues that it is unconstitutional for the government to take partisanship into account when determining district lines,1,0
T,partisan gerrymandering,increases,instability,Yoshinaka & Murhpy 2011,Yoshinaka & Murhpy 2011,"Partisan mapmakers can create political instability, particularly for their opponent legislators, by breaking the link between representatives and constituents",1,1
T,partisan gerrymandering,no effect,elite polarization,Masket et al. 2012,Masket et al. 2012,"Masket et al. find that partisan redistricting do not have much effect on legislative polarization, as it is swamped by other factors",1,1
T,majority minority districts,increases,number of minority representatives,Atsusaka 2021,Atsusaka 2021,"Where minorities are a majority, they are have a better chance of electing a representative; Atsusaka 2021 creates a logical model that allows minority candidate appearance to be a result of (1) the electoral performance of coethnic candidates in the most recent elections and (2) the racial composition of a district.",1,1
T,majority minority districts,decreases,partisan advantage,Cox & Holden 2011; Sabouni & Shelton 2021,Sabouni & Shelton 2021,"Cox and Holden argue that the optimal gerrymandering strategy is to cluster your strong partisan supporters into districts with a smaller number of strong partisan opponents. Thus, the Voting Rights Act's majority-minority districts limit Republicans' ability to effectively gerrymander. Sabouni and Shelton find that states that must submit their maps for clearance under the VRA had greater consistency in maps before and after the 2010 redistricting wave.",2,1
T,majority minority districts,increases,voter turnout,Fraga 2016,Fraga 2016,"African Americans are more likely to vote when reassigned to a majority black district. Fraga relies on a theoretical ""empowerment framework,"" in which members of minority groups are more likely to participate when their group has representation and influence in politics.",1,1
