from,to,edge,core,mechanism,cites,cites_empirical,cite_weight,edge_betweenness,detail,type,title,color,value
computers,detect gerrymandering,"increases, imperfectly",TRUE,"Altman and McDonald (2010) argue that simulations cannot adequately detect gerrymanders. Wang proposes three tests to detect the effects and intents of gerrymanders. Altman and McDonald (2011) provide an open source program for redistricting analysis. Ramachandran & Gold argue that simulation-based measures (part of ""outlier analysis"") are some of the only ways to effectively detect gerrymanders.",Altman & McDonald 2010; Wang 2016; Altman & McDonald 2011; Ramachandran & Gold 2018,Wang 2016,4,2,"increases, imperfectly<br>Altman and McDonald (2010) argue that simulations cannot adequately detect gerrymanders. Wang proposes three tests to detect the effects and intents of gerrymanders. Altman and McDonald (2011) provide an open source program for redistricting analysis. Ramachandran & Gold argue that simulation-based measures (part of ""outlier analysis"") are some of the only ways to effectively detect gerrymanders.<br>Altman & McDonald 2010; Wang 2016; Altman & McDonald 2011; Ramachandran & Gold 2018","increases, imperfectly","<p>increases, imperfectly<br>Altman and McDonald (2010) argue that simulations cannot adequately detect gerrymanders. Wang proposes three tests to detect the effects and intents of gerrymanders. Altman and McDonald (2011) provide an open source program for redistricting analysis. Ramachandran & Gold argue that simulation-based measures (part of ""outlier analysis"") are some of the only ways to effectively detect gerrymanders.<br>Altman & McDonald 2010; Wang 2016; Altman & McDonald 2011; Ramachandran & Gold 2018</p>",#81a275,4
computers,public participation,increases,TRUE,Altman & McDonald argue that computers can be used to allow the public to participate in the map-drawing process by soliciting information and education about redistricting.,Altman & McDonald 2010; Altman & McDonald 2011,NA,2,1,increases<br>Altman & McDonald argue that computers can be used to allow the public to participate in the map-drawing process by soliciting information and education about redistricting.<br>Altman & McDonald 2010; Altman & McDonald 2011,increases,<p>increases<br>Altman & McDonald argue that computers can be used to allow the public to participate in the map-drawing process by soliciting information and education about redistricting.<br>Altman & McDonald 2010; Altman & McDonald 2011</p>,#81a275,2
legislator information about district,floor votes align with district preferences,increases,TRUE,NA,"Butler, D and Nickerson, D 2011; Broockman and Skovron 2018; and Hertel-Fernandez et al. 2018",NA,3,1,"increases<br><br>Butler, D and Nickerson, D 2011; Broockman and Skovron 2018; and Hertel-Fernandez et al. 2018",increases,"<p>increases<br><br>Butler, D and Nickerson, D 2011; Broockman and Skovron 2018; and Hertel-Fernandez et al. 2018</p>",#81a275,3
number of competitive districts,preserve communities of interest,"decreases if cor(party, community)>0",TRUE,"If racial groups or like municipal jurisdictions have partisan leanings, then creating more competitive districts often means splitting communities across districts.",Gimpel & Harbridge-Yong 2020,Gimpel & Harbridge-Yong 2020,1,110,"decreases if cor(party, community)>0<br>If racial groups or like municipal jurisdictions have partisan leanings, then creating more competitive districts often means splitting communities across districts.<br>Gimpel & Harbridge-Yong 2020","decreases if cor(party, community)>0","<p>decreases if cor(party, community)>0<br>If racial groups or like municipal jurisdictions have partisan leanings, then creating more competitive districts often means splitting communities across districts.<br>Gimpel & Harbridge-Yong 2020</p>",#b14552,1
partisan advantage,proportionality,decreases,TRUE,A partisan gerrymander aims to diverge from proportionality.,Caughey et al. 2017; Tamas 2019,NA,2,21,decreases<br>A partisan gerrymander aims to diverge from proportionality.<br>Caughey et al. 2017; Tamas 2019,decreases,<p>decreases<br>A partisan gerrymander aims to diverge from proportionality.<br>Caughey et al. 2017; Tamas 2019</p>,#b14552,2
partisan advantage,number of competitive districts,decreases? or increases? open question?,TRUE,"A partisan gerrymander aims to decrease the number of competitive district, but some research suggests that partisan gerrymanders have a neutral or positive effect on competition.",NA,NA,5,30,"decreases? or increases? open question?<br>A partisan gerrymander aims to decrease the number of competitive district, but some research suggests that partisan gerrymanders have a neutral or positive effect on competition.<br>",decreases? or increases? open question?,"<p>decreases? or increases? open question?<br>A partisan gerrymander aims to decrease the number of competitive district, but some research suggests that partisan gerrymanders have a neutral or positive effect on competition.<br></p>",#b14552,5
partisan gerrymandering,efficiency gap,increases,TRUE,"Chen conducts simulations of neutrally drawn districts in Wisconsin and compares the efficiency gap of simulations to that of the actual redistricting plan, in order to show that the map was designed to give an advantage to one party.",Chen 2017,Chen 2017,1,18,"increases<br>Chen conducts simulations of neutrally drawn districts in Wisconsin and compares the efficiency gap of simulations to that of the actual redistricting plan, in order to show that the map was designed to give an advantage to one party.<br>Chen 2017",increases,"<p>increases<br>Chen conducts simulations of neutrally drawn districts in Wisconsin and compares the efficiency gap of simulations to that of the actual redistricting plan, in order to show that the map was designed to give an advantage to one party.<br>Chen 2017</p>",#81a275,1
preserve communities of interest,constitutional test,NA,TRUE,"Stephanopoulos argues that the Supreme Court ought to adopt a test of political gerrymandering based on the ""territorial community."" In short, if a district map disrupts an organic geographic community, it is unconstitutional.",Stephanopoulos 2012,NA,1,8,"<br>Stephanopoulos argues that the Supreme Court ought to adopt a test of political gerrymandering based on the ""territorial community."" In short, if a district map disrupts an organic geographic community, it is unconstitutional.<br>Stephanopoulos 2012",NA,"<p><br>Stephanopoulos argues that the Supreme Court ought to adopt a test of political gerrymandering based on the ""territorial community."" In short, if a district map disrupts an organic geographic community, it is unconstitutional.<br>Stephanopoulos 2012</p>",NA,1
mean-median vote comparison,detect gerrymandering,NA,TRUE,McDonald & Best propose a new measure of detecting gerrymanders; compare a party's median vote share in a district to its mean vote share. Wang proposes a similar measure of gerrymandering based on comparing mean and median vote shares.,McDonald & Best 2015; Wang 2016; Wang 2016b,Wang 2016b,3,2,<br>McDonald & Best propose a new measure of detecting gerrymanders; compare a party's median vote share in a district to its mean vote share. Wang proposes a similar measure of gerrymandering based on comparing mean and median vote shares.<br>McDonald & Best 2015; Wang 2016; Wang 2016b,NA,<p><br>McDonald & Best propose a new measure of detecting gerrymanders; compare a party's median vote share in a district to its mean vote share. Wang proposes a similar measure of gerrymandering based on comparing mean and median vote shares.<br>McDonald & Best 2015; Wang 2016; Wang 2016b</p>,NA,3
mean-median vote comparison,constitutional test,NA,TRUE,McDonald & Best argue that their measure of gerryamndering can be extended to identify which gerrymanders are unconstitutional,"McDonald & Best 2015, Best et al. 2018",NA,1,1,"<br>McDonald & Best argue that their measure of gerryamndering can be extended to identify which gerrymanders are unconstitutional<br>McDonald & Best 2015, Best et al. 2018",NA,"<p><br>McDonald & Best argue that their measure of gerryamndering can be extended to identify which gerrymanders are unconstitutional<br>McDonald & Best 2015, Best et al. 2018</p>",NA,1
partisan gerrymandering,constitutional test,NA,TRUE,Kang argues that it is unconstitutional for the government to take partisanship into account when determining district lines,Kang 2017,NA,1,1,<br>Kang argues that it is unconstitutional for the government to take partisanship into account when determining district lines<br>Kang 2017,NA,<p><br>Kang argues that it is unconstitutional for the government to take partisanship into account when determining district lines<br>Kang 2017</p>,NA,1
partisan gerrymandering,instability,increases,TRUE,"Partisan mapmakers can create political instability, particularly for their opponent legislators, by breaking the link between representatives and constituents",Yoshinaka & Murhpy 2011,Yoshinaka & Murhpy 2011,1,9,"increases<br>Partisan mapmakers can create political instability, particularly for their opponent legislators, by breaking the link between representatives and constituents<br>Yoshinaka & Murhpy 2011",increases,"<p>increases<br>Partisan mapmakers can create political instability, particularly for their opponent legislators, by breaking the link between representatives and constituents<br>Yoshinaka & Murhpy 2011</p>",#81a275,1
partisan gerrymandering,elite polarization,no effect,TRUE,"Masket et al. find that partisan redistricting do not have much effect on legislative polarization, as it is swamped by other factors",Masket et al. 2012,Masket et al. 2012,1,2,"no effect<br>Masket et al. find that partisan redistricting do not have much effect on legislative polarization, as it is swamped by other factors<br>Masket et al. 2012",no effect,"<p>no effect<br>Masket et al. find that partisan redistricting do not have much effect on legislative polarization, as it is swamped by other factors<br>Masket et al. 2012</p>",#617d9f,1
majority minority districts,number of minority representatives,increases,TRUE,"Where minorities are a majority, they are have a better chance of electing a representative; Atsusaka 2021 creates a logical model that allows minority candidate appearance to be a result of (1) the electoral performance of coethnic candidates in the most recent elections and (2) the racial composition of a district.",Atsusaka 2021,Atsusaka 2021,1,1,"increases<br>Where minorities are a majority, they are have a better chance of electing a representative; Atsusaka 2021 creates a logical model that allows minority candidate appearance to be a result of (1) the electoral performance of coethnic candidates in the most recent elections and (2) the racial composition of a district.<br>Atsusaka 2021",increases,"<p>increases<br>Where minorities are a majority, they are have a better chance of electing a representative; Atsusaka 2021 creates a logical model that allows minority candidate appearance to be a result of (1) the electoral performance of coethnic candidates in the most recent elections and (2) the racial composition of a district.<br>Atsusaka 2021</p>",#81a275,1
majority minority districts,number of competitive districts,"decreases if cor(party, community)>0",TRUE,NA,NA,NA,2,13.5,"decreases if cor(party, community)>0<br><br>","decreases if cor(party, community)>0","<p>decreases if cor(party, community)>0<br><br></p>",#b14552,2
majority minority districts,partisan advantage,decreases,TRUE,"Cox and Holden argue that the optimal gerrymandering strategy is to cluster your strong partisan supporters into districts with a smaller number of strong partisan opponents. Thus, the Voting Rights Act's majority-minority districts limit Republicans' ability to effectively gerrymander. Sabouni and Shelton find that states that must submit their maps for clearance under the VRA had greater consistency in maps before and after the 2010 redistricting wave.",Cox & Holden 2011; Sabouni & Shelton 2021,Sabouni & Shelton 2021,2,10.5,"decreases<br>Cox and Holden argue that the optimal gerrymandering strategy is to cluster your strong partisan supporters into districts with a smaller number of strong partisan opponents. Thus, the Voting Rights Act's majority-minority districts limit Republicans' ability to effectively gerrymander. Sabouni and Shelton find that states that must submit their maps for clearance under the VRA had greater consistency in maps before and after the 2010 redistricting wave.<br>Cox & Holden 2011; Sabouni & Shelton 2021",decreases,"<p>decreases<br>Cox and Holden argue that the optimal gerrymandering strategy is to cluster your strong partisan supporters into districts with a smaller number of strong partisan opponents. Thus, the Voting Rights Act's majority-minority districts limit Republicans' ability to effectively gerrymander. Sabouni and Shelton find that states that must submit their maps for clearance under the VRA had greater consistency in maps before and after the 2010 redistricting wave.<br>Cox & Holden 2011; Sabouni & Shelton 2021</p>",#b14552,2
majority minority districts,voter turnout,increases,TRUE,"African Americans are more likely to vote when reassigned to a majority black district. Fraga relies on a theoretical ""empowerment framework,"" in which members of minority groups are more likely to participate when their group has representation and influence in politics.",Fraga 2016,Fraga 2016,1,1,"increases<br>African Americans are more likely to vote when reassigned to a majority black district. Fraga relies on a theoretical ""empowerment framework,"" in which members of minority groups are more likely to participate when their group has representation and influence in politics.<br>Fraga 2016",increases,"<p>increases<br>African Americans are more likely to vote when reassigned to a majority black district. Fraga relies on a theoretical ""empowerment framework,"" in which members of minority groups are more likely to participate when their group has representation and influence in politics.<br>Fraga 2016</p>",#81a275,1
redistricting commission,partisan advantage,decrease,TRUE,Cain argues that independent citizen redistricting commissions are less likely to produce extremely partisan maps because they need to satisfy a supermajority by compromising on various redistricting criteria.,Cain 2011,NA,1,23,decrease<br>Cain argues that independent citizen redistricting commissions are less likely to produce extremely partisan maps because they need to satisfy a supermajority by compromising on various redistricting criteria.<br>Cain 2011,decrease,<p>decrease<br>Cain argues that independent citizen redistricting commissions are less likely to produce extremely partisan maps because they need to satisfy a supermajority by compromising on various redistricting criteria.<br>Cain 2011</p>,#b14552,1
partisan gerrymandering,partisan donor advantage,increases,NA,"Parties care about other resources in addition to votes, such as donations. They can use redistricting to concentrate likely donors into their districts and remove them from opponents' districts, thus increasing their odds of reelection.",Kirkland 2013,Kirkland 2013,1,9,"increases<br>Parties care about other resources in addition to votes, such as donations. They can use redistricting to concentrate likely donors into their districts and remove them from opponents' districts, thus increasing their odds of reelection.<br>Kirkland 2013",increases,"<p>increases<br>Parties care about other resources in addition to votes, such as donations. They can use redistricting to concentrate likely donors into their districts and remove them from opponents' districts, thus increasing their odds of reelection.<br>Kirkland 2013</p>",#81a275,1
change in constituency boundaries,legislator voting,"no effect, affects",NA,"Bertelli and Carson argue that partisan gerrymandering is a form of risk-sharing, in which individual members do not have to radically change their positions while maintaining their odds of reelection. In contrast, Hayes et al. say that legislators respond to the demographic changes of their constituency after redistricting.","Bertelli & Carson 2011, Hayes et al. 2010","Bertelli & Carson 2011, Hayes et al. 2010",1,1,"no effect, affects<br>Bertelli and Carson argue that partisan gerrymandering is a form of risk-sharing, in which individual members do not have to radically change their positions while maintaining their odds of reelection. In contrast, Hayes et al. say that legislators respond to the demographic changes of their constituency after redistricting.<br>Bertelli & Carson 2011, Hayes et al. 2010","no effect, affects","<p>no effect, affects<br>Bertelli and Carson argue that partisan gerrymandering is a form of risk-sharing, in which individual members do not have to radically change their positions while maintaining their odds of reelection. In contrast, Hayes et al. say that legislators respond to the demographic changes of their constituency after redistricting.<br>Bertelli & Carson 2011, Hayes et al. 2010</p>",#617d9f,1
change in constituency boundaries,legislative outcomes,affects,NA,Bertelli & Carson: Partisan gerrymandering helps the majority party achieve its policy goals by increasing the odds of electoral success without requiring much sacrifice by individual members. Gul & Pesendorfer: use formal theory to show that policy outcomes are biased towards the redistricting party,"Bertelli & Carson 2011, Gul & Pesendorfer 2010",Bertelli & Carson 2011,1,1,"affects<br>Bertelli & Carson: Partisan gerrymandering helps the majority party achieve its policy goals by increasing the odds of electoral success without requiring much sacrifice by individual members. Gul & Pesendorfer: use formal theory to show that policy outcomes are biased towards the redistricting party<br>Bertelli & Carson 2011, Gul & Pesendorfer 2010",affects,"<p>affects<br>Bertelli & Carson: Partisan gerrymandering helps the majority party achieve its policy goals by increasing the odds of electoral success without requiring much sacrifice by individual members. Gul & Pesendorfer: use formal theory to show that policy outcomes are biased towards the redistricting party<br>Bertelli & Carson 2011, Gul & Pesendorfer 2010</p>",#617d9f,1
competitiveness,voter turnout,no effect,NA,"Moskowitz & Schneer 2019: Residents of competitive districts systematically differ from those in non-competitive districts, leading cross-sectional studies to erroneously find a relationship between competitiveness and turnout. In addition, most voters aren't aware of the competitiveness of their House race. Hunt 2018: examines data from Florida during 2012 election and finds that change in competitiveness after redistricting has a small effect on turnout",Moskowitz & Schneer 2019; Hunt 2018,Moskowitz & Schneer 2019; Hunt 2018,2,3,"no effect<br>Moskowitz & Schneer 2019: Residents of competitive districts systematically differ from those in non-competitive districts, leading cross-sectional studies to erroneously find a relationship between competitiveness and turnout. In addition, most voters aren't aware of the competitiveness of their House race. Hunt 2018: examines data from Florida during 2012 election and finds that change in competitiveness after redistricting has a small effect on turnout<br>Moskowitz & Schneer 2019; Hunt 2018",no effect,"<p>no effect<br>Moskowitz & Schneer 2019: Residents of competitive districts systematically differ from those in non-competitive districts, leading cross-sectional studies to erroneously find a relationship between competitiveness and turnout. In addition, most voters aren't aware of the competitiveness of their House race. Hunt 2018: examines data from Florida during 2012 election and finds that change in competitiveness after redistricting has a small effect on turnout<br>Moskowitz & Schneer 2019; Hunt 2018</p>",#617d9f,2
sorting,elite polarization,increases,NA,"Krasa & Polborn 2018: electoral competition model where gerrymandering (""intensification of the median ideological preferences in some districts"") can result in increased partisan polarization",Krasa & Polborn 2018,Krasa & Polborn 2018,1,1,"increases<br>Krasa & Polborn 2018: electoral competition model where gerrymandering (""intensification of the median ideological preferences in some districts"") can result in increased partisan polarization<br>Krasa & Polborn 2018",increases,"<p>increases<br>Krasa & Polborn 2018: electoral competition model where gerrymandering (""intensification of the median ideological preferences in some districts"") can result in increased partisan polarization<br>Krasa & Polborn 2018</p>",#81a275,1
contiguity,partisan advantage,increases,NA,"Democrats' concentration in cities leads to a Republican bias, due to the geographic, majoritarian nature of U.S. elections.",Chen & Rodden 2013,Chen & Rodden 2013,1,24,"increases<br>Democrats' concentration in cities leads to a Republican bias, due to the geographic, majoritarian nature of U.S. elections.<br>Chen & Rodden 2013",increases,"<p>increases<br>Democrats' concentration in cities leads to a Republican bias, due to the geographic, majoritarian nature of U.S. elections.<br>Chen & Rodden 2013</p>",#81a275,1
electorate composition change,incumbent vote share,decreases,NA,"Hood and McKee find that redistricting destroys the connection between a representative and their constituents; the new constituents have no such bond, so incumbency advantage is lower. Ansolabehere and Snyder find similar results when comparing the vote margins of districted and non-districted incumbents.",Hood & McKee 2013; Ansolabehere & Snyder 2012,Hood & McKee 2013; Ansolabehere & Snyder 2012,2,2,"decreases<br>Hood and McKee find that redistricting destroys the connection between a representative and their constituents; the new constituents have no such bond, so incumbency advantage is lower. Ansolabehere and Snyder find similar results when comparing the vote margins of districted and non-districted incumbents.<br>Hood & McKee 2013; Ansolabehere & Snyder 2012",decreases,"<p>decreases<br>Hood and McKee find that redistricting destroys the connection between a representative and their constituents; the new constituents have no such bond, so incumbency advantage is lower. Ansolabehere and Snyder find similar results when comparing the vote margins of districted and non-districted incumbents.<br>Hood & McKee 2013; Ansolabehere & Snyder 2012</p>",#b14552,2
electorate composition change,personal vote,decreases,NA,"When a legislator's district changes, the personal connection with some of their constituents is lost. Thus, legislators are less able to convert supporters of the opposite party, as they have no connections with their new constituents.","Carsey et al. 2017, Bertelli & Carson 2011",Carsey et al. 2017,1,2,"decreases<br>When a legislator's district changes, the personal connection with some of their constituents is lost. Thus, legislators are less able to convert supporters of the opposite party, as they have no connections with their new constituents.<br>Carsey et al. 2017, Bertelli & Carson 2011",decreases,"<p>decreases<br>When a legislator's district changes, the personal connection with some of their constituents is lost. Thus, legislators are less able to convert supporters of the opposite party, as they have no connections with their new constituents.<br>Carsey et al. 2017, Bertelli & Carson 2011</p>",#b14552,1
